OrderID,Customer,City,Product,OrderDate,Quantity,UnitPrice,Status,TotalAmount
1001,Amit,Bengaluru,Laptop,2026-08-01,1,55000,Delivered,55000
1002,Neha,Delhi,Mouse,2026-08-02,2,1200,Delivered,2400
1003,Rahul,Mumbai,Keyboard,2026-08-03,1,2500,Pending,2500
1004,Priya,Kolkata,Monitor,2026-08-04,2,15000,Delivered,30000
1005,Arjun,Bengaluru,Laptop,2026-08-05,1,55000,Cancelled,55000
1006,Sana,Hyderabad,Printer,2026-08-06,1,12000,Delivered,12000
1007,Ravi,Delhi,Laptop,2026-08-07,2,55000,Delivered,110000
1008,Pooja,Mumbai,Mouse,2026-08-08,3,1200,Pending,3600
1009,Imran,Kolkata,Monitor,2026-08-09,1,15000,Delivered,15000
1010,Karan,Hyderabad,Keyboard,2026-08-10,2,2500,Delivered,5000
